Name,Origine,Destinazione,Total_Minu,Total_Mete
1042 - 28060,1042.0,28060.0,182.1,345099.93
1043 - 28060,1043.0,28060.0,199.6,369509.86
1044 - 28060,1044.0,28060.0,213.41,413232.33
1045 - 28060,1045.0,28060.0,204.48,393681.55
1046 - 28060,1046.0,28060.0,204.99,386806.57
1047 - 28060,1047.0,28060.0,186.29,343654.71
1048 - 28060,1048.0,28060.0,197.49,381963.99
1049 - 28060,1049.0,28060.0,227.04,428511.88
1050 - 28060,1050.0,28060.0,188.46,346411.9
1051 - 28060,1051.0,28060.0,206.27,397860.07
1052 - 28060,1052.0,28060.0,205.68,376169.68
1053 - 28060,1053.0,28060.0,220.93,410003.12
1054 - 28060,1054.0,28060.0,224.36,406038.18
1055 - 28060,1055.0,28060.0,207.3,398270.8
1056 - 28060,1056.0,28060.0,177.05,340251.22
1057 - 28060,1057.0,28060.0,188.21,363200.7
1058 - 28060,1058.0,28060.0,207.99,398616.26
1059 - 28060,1059.0,28060.0,207.61,402729.69
1060 - 28060,1060.0,28060.0,188.69,358145.87
1061 - 28060,1061.0,28060.0,183.3,345891.34
1062 - 28060,1062.0,28060.0,202.91,384692.98
1063 - 28060,1063.0,28060.0,193.72,374490.54
1064 - 28060,1064.0,28060.0,186.71,355053.47
1065 - 28060,1065.0,28060.0,214.07,408943.25
1066 - 28060,1066.0,28060.0,191.38,361068.35
1067 - 28060,1067.0,28060.0,196.93,365907.85
1068 - 28060,1068.0,28060.0,189.82,362277.74
1069 - 28060,1069.0,28060.0,191.11,360411.5
1070 - 28060,1070.0,28060.0,224.78,427105.27
1071 - 28060,1071.0,28060.0,216.06,411024.12
1072 - 28060,1072.0,28060.0,220.32,402931.74
1073 - 28060,1073.0,28060.0,237.67,404797.31
1074 - 28060,1074.0,28060.0,235.52,453990.17
1075 - 28060,1075.0,28060.0,229.04,410093.18
1076 - 28060,1076.0,28060.0,213.15,412725.99
1077 - 28060,1077.0,28060.0,185.68,348495.23
1078 - 28060,1078.0,28060.0,200.19,380559.65
1079 - 28060,1079.0,28060.0,201.35,369737.62
1080 - 28060,1080.0,28060.0,222.76,427039.43
1081 - 28060,1081.0,28060.0,208.02,398627.63
1082 - 28060,1082.0,28060.0,181.52,349903.02
1001 - 28060,1001.0,28060.0,191.79,359987.51
1002 - 28060,1002.0,28060.0,209.44,404667.93
1003 - 28060,1003.0,28060.0,229.2,411022.17
1004 - 28060,1004.0,28060.0,175.25,338287.94
1005 - 28060,1005.0,28060.0,192.71,360682.56
1006 - 28060,1006.0,28060.0,204.45,394194.29
1007 - 28060,1007.0,28060.0,208.5,379512.06
1008 - 28060,1008.0,28060.0,197.96,380694.11
1009 - 28060,1009.0,28060.0,200.75,381933.87
1010 - 28060,1010.0,28060.0,191.12,353744.9
1011 - 28060,1011.0,28060.0,231.8,433665.84
1012 - 28060,1012.0,28060.0,200.92,381812.33
1013 - 28060,1013.0,28060.0,205.1,393104.17
1014 - 28060,1014.0,28060.0,179.8,342272.51
1015 - 28060,1015.0,28060.0,188.79,357556.64
1016 - 28060,1016.0,28060.0,207.92,389376.05
1017 - 28060,1017.0,28060.0,187.54,356814.95
1018 - 28060,1018.0,28060.0,197.48,369970.49
1019 - 28060,1019.0,28060.0,236.51,418396.59
1020 - 28060,1020.0,28060.0,181.67,348935.91
1021 - 28060,1021.0,28060.0,206.77,376720.79
1022 - 28060,1022.0,28060.0,236.58,457654.49
1023 - 28060,1023.0,28060.0,188.54,362523.02
1024 - 28060,1024.0,28060.0,201.39,389869.75
1025 - 28060,1025.0,28060.0,226.52,427271.12
1026 - 28060,1026.0,28060.0,240.14,440586.39
1027 - 28060,1027.0,28060.0,180.35,343157.44
1028 - 28060,1028.0,28060.0,192.98,371279.47
1029 - 28060,1029.0,28060.0,200.05,366607.71
1030 - 28060,1030.0,28060.0,189.5,352385.7
1031 - 28060,1031.0,28060.0,177.87,338198.12
1032 - 28060,1032.0,28060.0,210.48,408168.47
1033 - 28060,1033.0,28060.0,193.99,363489.06
1034 - 28060,1034.0,28060.0,183.64,353665.02
1035 - 28060,1035.0,28060.0,222.29,423765.77
3036 - 28060,3036.0,28060.0,159.89,299121.38
3037 - 28060,3037.0,28060.0,154.62,294045.78
3039 - 28060,3039.0,28060.0,155.89,294965.01
3040 - 28060,3040.0,28060.0,157.32,295313.57
3041 - 28060,3041.0,28060.0,158.94,298410.3
3042 - 28060,3042.0,28060.0,156.95,294886.22
3043 - 28060,3043.0,28060.0,151.74,287142.75
3044 - 28060,3044.0,28060.0,162.61,299272.14
3045 - 28060,3045.0,28060.0,161.9,306990.34
3047 - 28060,3047.0,28060.0,167.47,316812.45
3049 - 28060,3049.0,28060.0,148.91,272408.85
3051 - 28060,3051.0,28060.0,160.5,304048.99
4229 - 28060,4229.0,28060.0,233.51,418289.36
4230 - 28060,4230.0,28060.0,201.55,377642.01
2017 - 28060,2017.0,28060.0,158.81,298246.3
2019 - 28060,2019.0,28060.0,184.65,335329.54
